caption	answer	add_caption	c1_variable	c1_comp	c1_condition	c2_variable	c2_comp	c2_condition	c3_variable	c3_comp	c3_condition
школи магії	Є шість шкіл магії - це Змінення, Руйнація, Ілюзія, Містицизм, Відновлення та Тауматургія.	Змінення,Руйнація,Ілюзія,Містицизм,Відновлення,Тауматургія	Faction Guild Group	==	10	NoLore	==	2			
Змінення	Заклинання Змінення міняють світ навколо заклинателя настільки, що звичайні фізичні закони більше не діють.|Змінення вивчає здатність магії змінювати, часто докорінно, структуру та склад будь-якого об'єкта. На відміну від школи Ілюзії, Змінення має справу з реальними змінами, а не лише з їхнім візуальним відображенням.|Сповільнене Падіння і Щит - два класичних заклинання школи Змінення.|Легко сплутати школу Ілюзії та Змінення. Обидві школи магії намагаються створити те, чого немає. Різниця полягає в законах природи. Ілюзія не пов'язана з ними, в той час як Змінення - пов'язане. Це може здатися ознакою того, що Змінення є слабшою з них двох, але це не так. Змінення створює реальність, яка сприймається всіма. Реальність Ілюзії існує лише у свідомості того, хто її заклинає, та її об'єкта.		Faction Guild Group	==	10	NoLore	==	2			
Руйнація	Школа Руйнації займається нанесенням шкоди всім формам матерії, як живої, так і неживої, і робить матерію більш вразливою до такої шкоди. Володіння магією Руйнації пов'язане, певною мірою, з небезпекою.|Школа Руйнації займається суто руйнівними можливостями магії, що проявляються в таких заклинаннях, як Вогняна Куля та Крижаний Шторм.		Faction Guild Group	==	10	NoLore	==	2			
Ілюзія	Заклинання Ілюзії можуть змінювати вигляд цілі, створювати або прибирати світло.|Школа Ілюзії розглядає магію як здатність маскувати, викривати або приховувати, не змінюючи при цьому структуру об'єкту.|Невидимість і Світло - два найпростіших заклинання Ілюзії.		Faction Guild Group	==	10	NoLore	==	2			
Містицизм	Мистецтво Містицизму дозволяє магу змінювати природу самої магії і включає в себе маніпуляції з магічними силами і їх межами, щоб обійти структури і обмеження фізичного світу.|Школа Містицизму експериментує з найпотаємнішими аспектами магії. Її фахівці перетворили загадкові "нещасні випадки" на корисний, хоча й еклектичний набір заклинань.|Оскільки сили, якими маніпулює Містицизм, є небезпечними і невідомими, ефекти заклинань є цілеспрямовано специфічними. Це видно на прикладі таких заклинань, як Глибока Німота та Пастка Душ.		Faction Guild Group	==	10	NoLore	==	2			
Відновлення	Заклинання Відновлення зцілюють, відновлюють і зміцнюють властивості та здібності організму, лікують хвороби і захищають від інших згубних впливів.|Основні заклинання школи Відновлення загоюють рани, лікують хвороби та повертають втрачену життєву силу. Вони також можуть збільшувати силу, витривалість, інтелект, спритність та інші тілесні якості.|Школа Відновлення присвячена цілющій і заспокійливій силі магії, що проявляється в таких заклинаннях, як Лікувати Отруту і Кров Троля.		Faction Guild Group	==	10	NoLore	==	2			
Тауматургія	Тауматурги можуть виконувати дії, які в інших школах магії можуть бути досягнуті лише за допомогою грубої сили, такі як левітація (яка, як кажуть, передбачає особисту відмову від гравітації), безтілесність, виявлення, заспокоєння, ходіння по воді, телепортація, виклик і маніпуляції з іншими магічними силами.|Школа Тауматургії зосереджується на викритті або маніпулюванні відомими силами та об'єктами в межах їхніх природних законів.		Faction Guild Group	==	10	NoLore	==	2			
послуги	Тут будь-хто може придбати заклинання або знайти зачаровані предмети. Члени Гільдії Магів з доброю репутацією можуть пройти навчання в школах магії, отримати доступ до бібліотеки, купити Камені Душ і створити власні магічні предмети або заклинання. Високопоставлені члени Гільдії отримують привілей викликати Даедрійських Принців або користуватися послугами телепортації, щоб швидше пересуватися. Але якщо ви хочете приєднатися, вам слід бути гідними принаймні в одній школі магії.	послуги, школи магії, Камені Душ, телепортація, Принци Даедра	Faction Guild Group	==	10	NoLore	==	2			
Хто ви?	Я - @Name@, Академік Гільдії магів. Я пропоную заклинання на продаж як членам Гільдії, так і не членам.		Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	60
Хто ви?	Я - @Name@, Наставник Гільдії Магів. Я пропоную членам Гільдії навчання з найрізноманітніших дисциплін, включаючи Руйнацію, Містицизм і навіть рідкісні мови, такі як Оркська Мова та Мова Гарпій.		Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	61
Хто ви?	Я - @Name@, представник Ліги Мандрівників тут, в @Location Name@. Я пропоную послуги телепортації високопоставленим членам Гільдії Магів.	послуги, телепортація, Ліга Мандрівників	Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	62
телепортація	Будь-який член організації, що має ранг Майстра Чарівника або вище, може скористатися моєю послугою телепортації. Вона безкоштовна і доставить вас у будь-яке місце, яке ви позначили на карті. Але пам'ятайте, що це подорож в один кінець. Без заклинання телепортації, закріпленого за Гільдією ви не зможете повернутися назад.	Ліга Мандрівників	Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	62
Хто ви?	Я - @Name@, найманий Чарівник Гільдії Магів.		Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	63
Хто ви?	Я - @Name@, Ізоляціоніст Гільдії Магів. Я можу допомогти вам у створенні оригінальних заклинань. Ця послуга призначена лише для членів Гільдії, а вартість залежить від складності заклинання, яке ви створюєте.		Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	64
Хто ви?	Я - @Name@, помічник майстра Гільдії Магів. Я торгую магічними предметами та Камінням Душ. Ви повинні мати достатньо високий ранг, щоб купувати такі небезпечні речі.	Камені Душ	Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	65
Камені Душ	Камені Душ - це дорогоцінні камені, до яких за допомогою магії прив'язують душі істот, зазвичай замикаючи їх у пастці в момент смерті. Ці самоцвіти можна використовувати для зачарування та заряджання магічних предметів, оживлення нежиті або штучних конструкцій, а також для накладання потужних руйнівних заклинань. Іноді я продаю вже заповнені камені душі, але більшість з них будуть порожніми. Щоб заповнити їх, вам знадобиться заклинання "Пастка Душ".		Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	65
Хто ви?	Я - @Name@, представник Кабали тут, в @Location Name@. Якщо вам потрібно поговорити з одним з Даедрійських Принців, і ви на хорошому рахунку у нас, я можу вас представити... за певну плату, звичайно.	Кабала, Принци Даедра	Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	66
Принци Даедра	Даедрійські Принци - наймогутніші з Даедра і їм зазвичай поклоняються як богам.|Смертним відомі п'ятнадцять могутніх Даедрійських Принців: Азура, Боетія, Клавікус Вайл, Хермеус Мора, Малакат, Мерунес Дагон, Мефала, Меридія, Молаг Бал, Наміра, Ноктюрнал, Періайт, Сангвін, Шеогорат і Верміна.|Науковий консенсус стверджує, що існує п'ятнадцять Принців Даедра. Хоча деякі вчені, як Моріан Зенас, вважають, що їх більше.|Кажуть, що кожен Даедрійський Принц має власну площину Облівіону, якою він володіє.|Даедрійські Принци, здається, розглядають людей і мерів не більше, ніж як дрібні забавки. Вони не знають, що таке "добро" і "зло", і легко переходять від одного до іншого, тому люди і мери дуже бояться їх.|Хоча Даедрійські Принци вважаються більшістю злом, їм широко поклоняються в Королівствах Тамріеля. Для вшанування Даедра, як богів, створюються вишукані святилища.		NoLore	==	2	Faction ID	==	66|456|470|475|482|488|492|498			
Хто ви?	Я - @Name@, вчений Маг із Гільдії Магів. За невелику плату я можу визначити закляття на будь-якому магічному предметі. Мої послуги доступні всім, навіть тим, хто не є членом Гільдії.	послуги	Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	801
Хто ви?	Я - @Name@, Майстер Чарів Гільдії Магів. Я займаюся створенням зачарованих предметів. Мої послуги доступні виключно для тих, хто має відповідний ранг.	послуги	Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	802
Хто ви?	Я - @Name@, Гільдмагістр Гільдії Магів у @Location Name@.		Faction Guild Group	==	10	NoLore	==	2	Faction ID	==	69
Гільдія Магів	Гільдія Магів є офіційним центром магічного навчання в Тамріелі. У більшості великих міст є бюро Гільдії, де, окрім навчання, продаються заклинання та магічні предмети.|Гільдія Магів - це свого роду школа для вивчення заклинань. Щоб потрапити туди, потрібно бути досить розумним, але навіть не члени Гільдії можуть користуватися деякими послугами.|Гільдія Магів - це саме те, про що говорить її назва. Це організація для всіх різновидів заклиначів, які збираються разом і навчають один одного. Раніше маги були відлюдниками. Але зараз це не так.|Це саме те, про що ви подумали. Школа і клуб для магів, які вже достатньо хороші, щоб стати ще кращими. Вона існує вже щонайменше тисячу років.										
Гільдія Злодіїв	Що ви хочете знати про Гільдію, га? Нічого особливого. Ми не грабуємо членів, а всіх інших обкрадаємо до нитки, хех!|Бути членом гільдії - це круто, набагато краще, ніж бути незалежним. По-перше, вам не розіб'ють коліна. По-друге, ви навчитеся багатьом трюкам від майстрів-злодіїв.|Хочете чимось зайнятися? Сутенерство, контрабанда, пограбування, крадіжки зі зломом, ми займаємося всім, крім вбивства. Це погано для бізнесу.|Звісно, варта знає про наше існування. Але ми платимо вельможам хороші гроші, щоб нас залишили в спокої.|Якщо ви член Гільдії, я прикрию вашу спину. І я знаю, що ви прикриєте мою. Ми одні проти всього світу, так?		Faction Guild Group	==	4	Faction Social Group	==	4	NoLore	==	2
Хто ви?	Я - @Name@, Тіньовий Оцінювач Гільдії Злодіїв. Я скупник, ось що це таке. Якщо у вас є вкрадена річ, особливо магічна, я можу зробити так, щоб вона зникла.		Faction Guild Group	==	4	NoLore	==	2	Faction ID	==	805
Хто ви?	Я - @Name@, Тіньовий Інтриган Гільдії Злодіїв. Я роздаю тут офіційно дозволену роботу.		Faction Guild Group	==	4	NoLore	==	2	Faction ID	==	804
Хто ви?	Я - @Name@, Тіньовий Тренер Гільдії Злодіїв. Я можу навчити вас зламувати замки, підкрадатися до цілі та мільйону інших маленьких хитрощів цього ремесла.		Faction Guild Group	==	4	NoLore	==	2	Faction ID	==	803
Хто ви?	Я - @Name@, Тіньовий Шпигун Гільдії Злодіїв. Я завжди уважно слухаю і передаю всі соковиті маленькі секрети своїм товаришам по Гільдії.		Faction Guild Group	==	4	NoLore	==	2	Faction ID	==	806
Гільдія Злодіїв	Гільдія Злодіїв - це офіційне організоване об'єднання злодіїв, повій та інших головорізів у цьому районі. Їх штаб-квартира завжди тримається в секреті.|Незважаючи на те, що в Тамріелі існують незалежні повії, кишенькові злодії, квартирні крадії, шахраї та грабіжники, більшість професійних злочинців належать до Гільдії Злодіїв. Це найкраще для колективного інтересу, і Гільдія чинить певний... тиск, щоб приєднатися до неї.|Практично в кожному районі, селищі та місті-державі Тамріеля професійні злочинці об'єдналися для взаємного контролю. Для цього і існує Гільдія Злодіїв.|Гільдія Злодіїв - це така ж сама Гільдія, як і будь-яка інша - просто їхньою специфічною галуззю є злочинність. Вони пропонують особливі пільги своїм членам, підкуповують чиновників і карають тих, хто не є їхніми членами. Як і будь-яка інша Гільдія.										
Темне Братство	Темне Братство завжди очолювала Матір Ночі. Вона є покровителькою нашого ордену і найвідданішою слугою Мефали, Володарки Шепоту.|Ми вбиваємо не тому, що нам це подобається. Ми вбиваємо, бо так наказує Мефала. Те, що нам це подобається - лише бонус, хех.|Темне Братство існує тисячоліттями. Ми вбивали як селян, так і Імператорів. Всі рівні перед смертю, і їхні смерті однаково солодкі для Мефали.|Не підведіть. Вбивати наші цілі - священний обов'язок. Коли Мефала вимагає душу, вона повинна її отримати, так чи інакше.|Братство надає послуги своїм членам. Все, що вам може знадобитися для виконання вашого обов'язку, Братство надасть вам.	Матір Ночі,Мефала|Мефала|Мефала|Мефала|послуги	Faction Guild Group	==	3	NoLore	==	2			
Темне Братство	Темне Братство - дуже таємнича організація, яку часто наймають як вбивць більш прагматичні правителі. Вони мають репутацію маніяків і шанувальників Даедра, але, мабуть, роблять щось правильне. Вони існують вже тисячі років.|Купка вбивць, які видають себе за релігійний Орден. Вони більш-менш офіційна Гільдія Вбивць Тамріеля. Більшість Королівств оголосили їх нелегальною організацією, але одна справа - зробити заяву...|Купка вбивць, які видають себе за релігійний Орден. Вони більш-менш офіційна Гільдія Вбивць Тамріеля. Більшість Королівств оголосили їх нелегальною організацією, але одна справа - зробити заяву...										
послуги	Своїм вірним членам Братство пропонує навчання мистецтву вбивства, доступ до своїх зіллєварів і продавців зілля, чудовий вибір дорогоцінних каменів душ і інформацію, зібрану своїми Майстрами-Шпигунами.	навчання,зіллєвар|potion seller|Камені Душ|Spymaster	Faction Guild Group	==	3	NoLore	==	2			
Хто ви?	Я - @Name@, Темний Змішувач Братства. Я готую зілля для тих, хто служить волі Мефали.	зіллєвар, Мефала	Faction Guild Group	==	3	NoLore	==	2	Faction ID	==	840
зіллєвар	Просто покладіть інгредієнти, які ви хочете змішати, в казан. Я скажу вам, чи вийшло з суміші придатне для використання зілля. Якщо у вас є рецепти, ви можете скористатися ними замість того, щоб вгадувати.		Faction Guild Group	==	3	NoLore	==	2	Faction ID	==	840
Хто ви?	Я - @Name@, Майстер Отрут Братства. Якщо створення власних зіль для вас занадто клопітка справа, я можу продати вам кілька... за відповідну ціну.		Faction Guild Group	==	3	NoLore	==	2	Faction ID	==	841
Хто ви?	Я - @Name@, Темний Зв'язковий Братства. Я можу продати вам Камені Душ, які можна використовувати для зачарування.	Камені Душ	Faction Guild Group	==	3	NoLore	==	2	Faction ID	==	843
Камені Душ	Камені Душ - це дорогоцінні камені, до яких за допомогою магії прив'язують душі істот, зазвичай замикаючи їх у пастці в момент смерті. Ці самоцвіти можна використовувати для зачарування та заряджання магічних предметів, оживлення нежиті або штучних конструкцій, а також для накладання потужних руйнівних заклинань. Іноді я продаю вже заповнені самоцвіти душі, але більшість з них будуть порожніми. Щоб заповнити їх, вам знадобиться заклинання "Пастка Душ".		Faction Guild Group	==	3	NoLore	==	2	Faction ID	==	843
Хто ви?	Я - @Name@, Темний Змовник Братства. Я експерт у збиранні інформації. Ви можете мені довіряти... Будь-які чутки, які я вам розповім, завжди будуть правдивими.		Faction Guild Group	==	3	NoLore	==	2	Faction ID	==	842
Хто ви?	Я - @Name@, Темний Тренер Братства. Я можу навчити вас будь-яким навичкам, яким надає перевагу Мефала: Стрілецька Зброя, Удар в Спину, Лазання, Критичний Удар, Даедрійська Мова, Руйнація, Ухилення, Біг, Короткий Клинок, Скритність, Знання Вулиць та Плавання.	Мефала	Мефала	Faction Guild Group	==	3	NoLore	==	2	Faction ID	==	839
Мефала	Мефала - даедрійська володарка вбивств, брехні, обману, сексу і таємниць.|Павучиха займається таємницями і прихованими знаннями. Вона цінує таємниці і загадки понад усе.|Павучиха отримує величезне задоволення від чвар. Зруйнований шлюб, дві мирні фракції, що спалахують кривавою війною через сфальсифіковані докази зради... Вона знаходить все це забавним.|Мефала втручається у справи смертних заради власної забави і нічого не робить без мети.|Ті, хто служить Королеві Восьми Тіней Вбивства, можуть відчути, як вона шепоче їм на вухо заборонені секрети. 		Faction Guild Group	==	3	NoLore	==	2			
відьми	Звідси прямуйте на північ довгим-довгим шляхом, повз гори, повз руїни. Не звертайте ні вліво, ні вправо.		MapID	==	182945791						
відьми	Відьми? Краще не шукайте їх, %ra. Від них одні проблеми, запам'ятайте мої слова.|Тримайся подалі від відьом, бо вони проклянуть вас, як тільки глянуть на вас, і вашу худобу теж.|Кажуть, що відьми можуть вкрасти вашу душу одним лише поглядом. Навіщо ви хочете знайти відьом?|Про відьом краще не говорити. Сама згадка про них приносить нещастя.|Відьом краще не чіпати. Вони володіють силами, які не призначені для втручання смертних людей.|Відьми - слуги темряви. Краще триматися від них подалі.|Відьом шукаєте? Ви з глузду з'їхали? Вони перетворять вас на жабу або ще гірше.|Остерігайтеся відьом. Вони обдурять вас ілюзіями, а потім заманять вашу душу в пастку.|Ті, хто шукає відьом, часто стають частиною варива в їхніх казанах.|Знайти відьом - погана прикмета. Говорити про них - не краще. Поговоримо про щось інше.		Random Number (NPC)	>	10	Region Index	==	41|42|16|60|17|38|33|34|55|1|11|46|0			
Бретонці	Бретонці дуже піклуються про свій родовід. Шляхетні родини у Хай Році можуть простежити свій родовід, завжди вихваляючись своїми давніми правами та вигадливими титулами.|Ми, Бретонці, обожнюємо магію і вплутуватися в дрібні чвари.|Бретонці походять від Друїдів Галена, тому ми досить добре володіємо магією.|Ми, Бретонці, розумні, можливо, навіть занадто для нас самих.		Region Index	==	21|19|36|41|17|5|57|18|59|60|9|37|35|33|32|38|42|58|39|23|16|40	Faction Social Group	==	1|4			
Бретонці	Бретонці з Хай Року надають великого значення спадщині та родоводу. Шляхетні родини можуть простежити свій родовід через багато поколінь, кожна з яких прагне підкреслити свої давні права та привілеї.|Ми, Бретонці, відомі своєю майстерністю в магії та заплутаними придворними інтригами.|Наша раса походить від стародавніх Друїдів Галена, і ми кмітливі та сильні в містичних мистецтвах.| Ми, Бретонці, хитрий, розумний і освічений народ, який використовує свої таланти, щоб вести інших до просвітлення.		Region Index	==	21|19|36|41|17|5|57|18|59|60|9|37|35|33|32|38|42|58|39|23|16|40						
Редгарди	Редгарди походять з Йокуди, перш ніж оселитися в Хаммерфеллі. Ми відомі в усьому світі як найкращі бійці і ми міцно тримаємось наших традицій честі.| Ми найкращі бійці в Тамріелі. Наша пісня меча - це не просто бій, це поєднання бойових навичок і глибокої духовної практики.| Коли справа доходить до богів, Редгарди відрізняються від інших. Ми більше зосереджені на повазі до наших предків, ніж на поклонінні Божествам. Ми живемо життям, в якому шануємо наше минуле.| Для нас вміння володіти мечем - це не просто вміння битися, це частина нас самих. Кожен Редгард зростає, знаючи це.	Йокуда|пісня меча|-|	Region Index	==	43|0|55|47|56|61|11|1|53|44|49|22|52|46|45|54|50|20|48|51	Faction Social Group	==	1|4			
Редгарди	Редгарди походять із загубленого континенту Йокуда, а нині живуть і процвітають у Хаммерфеллі. Ми відомі в усьому Тамріелі своєю неперевершеною бойовою звитягою та традиціями, заснованими на честі та доблесті.| Як найзапекліші воїни Тамріеля, наші бойові мистецтва включають стародавнє і містичне мистецтво співу меча, яке є унікальним поєднанням бойової і духовної дисципліни.| Релігійний підхід Редгардів зосереджений не стільки на поклонінні богам, скільки на вшануванні предків. Ми віримо в життя, яке вшановує дух і жертовність наших предків.| Володіння мечем - це більше, ніж майстерність; це мистецтво, життєво важливе для нашої ідентичності. Кожна редгардська дитина зростає, навчаючись володінню мечем, що символізує нашу прихильність до захисту наших принципів та нашого народу.	Йокуда|пісня меча|-|	Region Index	==	43|0|55|47|56|61|11|1|53|44|49|22|52|46|45|54|50|20|48|51						
